a more immediate mystery	a more immediate mystery	in the present	in the present	a whole segment	the human story	the recording industry
a more immediate mystery	a more immediate mystery	in the present	in the present	of painting this family dynamic for the audience	of addressing a complex situation	in its own right
the wonder and menace	the wonder and menace	of growing up	of growing up	the normal divisions	the wistful everyday ironies	the usual portrayals
the wonder and menace	the wonder and menace	of growing up	of growing up	of the piece	of the narratives	of cultures and generations
her son 's discovery	her son's discovery	of his homosexuality	of his homosexuality	a fair amount	an action movie	the casting call
her son 's discovery	her son's discovery	of his homosexuality	of his homosexuality	of cultures and generations	of this true story	of both those words
a very good time	a very good time	at the cinema	at the cinema	a visually masterful work	a great actress	the funniest jokes
a very good time	a very good time	at the cinema	at the cinema	of the plot	of a sequel	of this sort
The most offensive thing	the most offensive thing	about the movie	about the movie	an unsettled feeling	a growing strain	the harsh reality
The most offensive thing	the most offensive thing	about the movie	about the movie	of decadent urbanity	in recent memory	of the film's city beginnings
the humor and intelligence	the humor and intelligence	of the script	of the script	the kind of genuine depth	a great ending	an admirable reconstruction
the humor and intelligence	the humor and intelligence	of the script	of the script	of a particular theatrical family	by all of the actors	of this calibre
the ins and outs	the ins and outs	of modern moviemaking	of modern moviemaking	the very concept	all the moments	the central performers
the ins and outs	the ins and outs	of modern moviemaking	of modern moviemaking	of growing up	of his characters	of character and mood
the very basic dictums	the very basic dictums	of human decency	of human decency	a slightly anarchic approach	its formidable arithmetic	this silly little puddle
the very basic dictums	the very basic dictums	of human decency	of human decency	of neighborhood values	of wit and dignity	of the modern male
A deliciously nonsensical comedy	a deliciously nonsensical comedy	about a city	about a city	the best sports movie	a genuinely honest moment	a moving experience
A deliciously nonsensical comedy	a deliciously nonsensical comedy	about a city	about a city	of tabloid journalism	of cell phones	of office politics
the integrity and vision	the integrity and vision	of the band	of the band	the intelligent romantic comedy	this unique and entertaining twist	the kind of genuine depth
the integrity and vision	the integrity and vision	of the band	of the band	of its characters' lives	of most contemporary comedies	of coherent dialogue
all the outward elements	all the outward elements	of the original	of the original	the performances of the young players	the complicated relationships	all the pieces
all the outward elements	all the outward elements	of the original	of the original	of black comedy	of her friendship	of its raw blues soundtrack
the most undeserving victim	the most undeserving victim	of critical overkill	of critical overkill	the movie's sophomoric blend	a deliberately unsteady mixture	a no-surprise series
the most undeserving victim	the most undeserving victim	of critical overkill	of critical overkill	of grief and loss	of a script in need of polishing	of continuity errors
The movie 's messages	the movie's messages	are quite admirable	are quite admirable	the additional storylines	all the performances	subjects like this
The movie 's messages	the movie's messages	are quite admirable	are quite admirable	are honestly affecting	were poetically romantic and full of indelible images	are well told
the meaning and consolation	the meaning and consolation	in afterlife communications	in afterlife communications	the moral dilemma	the entire point	the cultural and moral issues
the meaning and consolation	the meaning and consolation	in afterlife communications	in afterlife communications	of my situation	of the film	of magic and mischief
a nearly terminal case	a nearly terminal case	of the cutes	of the cutes	an unsettled feeling	his problematic quest	the endless pratfalls
a nearly terminal case	a nearly terminal case	of the cutes	of the cutes	of its energy	of good kids and bad seeds	of the entire effort
The film 's plot	the film's plot	may be shallow	may be shallow	the filmed reading	the script's potential	the actresses in the lead roles
The film 's plot	the film's plot	may be shallow	may be shallow	is pretty cheesy	makes a lick of sense	does not live up to its style
this silly little puddle	this silly little puddle	of a movie	of a movie	the thin soup	a besotted and obvious drama	the hollow state
this silly little puddle	this silly little puddle	of a movie	of a movie	of the bard's tragic play	of this trifle	of the artist's career
a sudden lunch rush	a sudden lunch rush	at the diner	at the diner	a friendly kick	the best thing	the synergistic impulse
a sudden lunch rush	a sudden lunch rush	at the diner	at the diner	in their movie	for its fiftysomething leading ladies	at the door
a genuinely honest moment	a genuinely honest moment	in their movie	in their movie	a moving experience	this unique and entertaining twist	the upbeat ending
a genuinely honest moment	a genuinely honest moment	in their movie	in their movie	of the directing world	of the piece	of manual animation
another regurgitated action movie	another regurgitated action movie	you 're after	you're after	the same illogical things	a cold blanket	something creepy and vague
another regurgitated action movie	another regurgitated action movie	you 're after	you're after	we can make	that should move quickly	that works only sporadically
much of the writing	much of the writing	is genuinely witty	is genuinely witty	the vast majority	the central performer	the film's message
much of the writing	much of the writing	is genuinely witty	is genuinely witty	is universal and involving	was actually surprising	should inspire reaction in its audience
the beauty and power	the beauty and power	of the opera	of the opera	beautifully detailed performances	this wonderful portrait	a visual treat
the beauty and power	the beauty and power	of the opera	of the opera	of the narratives	of a movie	of pop-music history
the respected critical community	the respected critical community	in this country	in this country	an honesty and dignity	the ultimate mysteries	a snappy screenplay
the respected critical community	the respected critical community	in this country	in this country	of characters and angles	of emotional heft	from a large group of your relatives
the physically spectacular qualities	the physically spectacular qualities	of the film	of the film	the humor and intelligence	the real charm	the rich promise of the script
the physically spectacular qualities	the physically spectacular qualities	of the film	of the film	of this sort	of popular culture	of his characters
his own idiosyncratic strain	his own idiosyncratic strain	of kitschy goodwill	of kitschy goodwill	a common tenet	his problematic quest	a crash course
his own idiosyncratic strain	his own idiosyncratic strain	of kitschy goodwill	of kitschy goodwill	of good kids and bad seeds	of character and mood	of urban kids
a high water mark	a high water mark	for this genre	for this genre	a neat little story	a strangely tempting bouquet	a convincing impersonation
a high water mark	a high water mark	for this genre	for this genre	of cultures and generations	of growing up	of this ancient holistic healing system
a barely adequate babysitter	a barely adequate babysitter	for older kids	for older kids	the predictable plot	an unwieldy cast	a cruel story
a barely adequate babysitter	a barely adequate babysitter	for older kids	for older kids	for the general public	for the audience	for this genre
A violent initiation rite	a violent initiation rite	for the audience	for the audience	a children's film	a plot twist	the heroes of horror movies
A violent initiation rite	a violent initiation rite	for the audience	for the audience	toward its subject	of this ancient holistic healing system	of cat and mouse
the vast collective memory	the vast collective memory	of the combatants	of the combatants	all the mounting tension	almost every relationship and personality	an original treatment
the vast collective memory	the vast collective memory	of the combatants	of the combatants	of your date	of their work	of characters and angles
a very original artist	a very original artist	in his medium	in his medium	a compelling portrait	a wonderful subject	a very ambitious project
a very original artist	a very original artist	in his medium	in his medium	to the romantic comedy genre	in a college history course	of the country
an especially poignant portrait	an especially poignant portrait	of her friendship	of her friendship	the richness of characterization	the ultimate mysteries	every emotional device
an especially poignant portrait	an especially poignant portrait	of her friendship	of her friendship	of the film's past	of belly dancing	of the directing world
a pointed little chiller	a pointed little chiller	about the frightening seductiveness of new technology	about the frightening seductiveness of new technology	a pleasant enough romance	a neat little story	elaborate futuristic sets
a pointed little chiller	a pointed little chiller	about the frightening seductiveness of new technology	about the frightening seductiveness of new technology	of the generation gap	about coming to terms with death	of serial killers
a real human soul	a real human soul	buried beneath a spellbinding serpent 's smirk	buried beneath a spellbinding serpent's smirk	the humor and humanity	some nice chills	a fairly irresistible package
a real human soul	a real human soul	buried beneath a spellbinding serpent 's smirk	buried beneath a spellbinding serpent's smirk	trying to finish a race	can justify evil means	can certainly not be emphasized enough
everyone involved with moviemaking	everyone involved with moviemaking	is a con artist and a liar	is a con artist and a liar	the actor	the whole segment	the ghost story
everyone involved with moviemaking	everyone involved with moviemaking	is a con artist and a liar	is a con artist and a liar	is ultimately held back from being something greater	will be gored	isn't the least bit mesmerizing
the film 's story	the film's story	does not live up to its style	does not live up to its style	an opera movie	an action film	the last scene
the film 's story	the film's story	does not live up to its style	does not live up to its style	may not satisfy every moviegoer's appetite	doesn't work in a modern context	seems contrived and secondhand
the full visceral impact	the full visceral impact	of a ruthless army on the warpath	of a ruthless army on the warpath	a cinematic postcard	a serious exploration	a wild ride
the full visceral impact	the full visceral impact	of a ruthless army on the warpath	of a ruthless army on the warpath	of preaching to the converted	of its chilly predecessor	of the absurd
the characters ' moves	the characters' moves	are often more predictable than their consequences	are often more predictable than their consequences	the animation and backdrops	so many titans	the multiple stories
the characters ' moves	the characters' moves	are often more predictable than their consequences	are often more predictable than their consequences	don't quite fit	are no picnic	don't live up to material
such a good design	such a good design	turns out to be a cheap knockoff	turns out to be a cheap knockoff	the most enchanting film	this quality band	the top actor
such a good design	such a good design	turns out to be a cheap knockoff	turns out to be a cheap knockoff	is a lame kiddie flick	doesn't live up to material	may be shallow
this unique and entertaining twist	this unique and entertaining twist	on the classic whale 's tale	on the classic whale's tale	an exhilarating exploration	a fascinating study	an engrossing thriller
this unique and entertaining twist	this unique and entertaining twist	on the classic whale 's tale	on the classic whale's tale	of comedy and romance	of this calibre	of this movie
the wit and revolutionary spirit	the wit and revolutionary spirit	of these performers and their era	of these performers and their era	all the enjoyable randomness	the extravagant confidence	the kind of genuine depth
the wit and revolutionary spirit	the wit and revolutionary spirit	of these performers and their era	of these performers and their era	of their own pasts	of its subjects	of music videos
The modern master of the chase sequence	the modern master of the chase sequence	returns with a chase to end all chases	returns with a chase to end all chases	the great mind	a nice little story	a powerful political message
The modern master of the chase sequence	the modern master of the chase sequence	returns with a chase to end all chases	returns with a chase to end all chases	was actually surprising	is very original	makes it strangely magnetic
the visuals and eccentricities	the visuals and eccentricities	of many of the characters	of many of the characters	the playful paranoia	the intelligence or sincerity	the complicated relationships
the visuals and eccentricities	the visuals and eccentricities	of many of the characters	of many of the characters	of any movie	of children's television	of modern times
just a simple fable	just a simple fable	done in an artless style	done in an artless style	the multiple stories	a sudsy tub	a chase flick
just a simple fable	just a simple fable	done in an artless style	done in an artless style	buried beneath a spellbinding serpent's smirk	to come out in weeks	hidden in the film's thick shadows
a pretty convincing performance	a pretty convincing performance	as a prissy teenage girl	as a prissy teenage girl	the cozy feeling	a compelling slice	a compelling portrait
a pretty convincing performance	a pretty convincing performance	as a prissy teenage girl	as a prissy teenage girl	of emotional blandness	of grief and loss	of hollow despair
the humor and humanity	the humor and humanity	that root it in feeling	that root it in feeling	significant character studies	the momentary joys	the movie's quiet affirmations
the humor and humanity	the humor and humanity	that root it in feeling	that root it in feeling	that can be said of the picture	that's opened between them	that tend to characterize puberty
A literary detective story	a literary detective story	is still a detective story	is still a detective story	the film's story	an opera movie	an action movie
A literary detective story	a literary detective story	is still a detective story	is still a detective story	is pushed to one side	is in the works	is going to show up soon
The author 's devotees	the author's devotees	will probably find it fascinating	will probably find it fascinating	the rest of the cast	the kids in the house	introverted young men
The author 's devotees	the author's devotees	will probably find it fascinating	will probably find it fascinating	are quite admirable	will be in warthog heaven	are top notch
a compelling dramatic means	a compelling dramatic means	of addressing a complex situation	of addressing a complex situation	a thoughtful and unflinching examination	an original treatment	the shocking conclusion
a compelling dramatic means	a compelling dramatic means	of addressing a complex situation	of addressing a complex situation	of adapting to loss	of coherent dialogue	of pretty and weightless intellectual entertainment
The issue of faith	the issue of faith	is not explored very deeply	is not explored very deeply	the addition of a biblical message	the testimony of witnesses	just the vampire
The issue of faith	the issue of faith	is not explored very deeply	is not explored very deeply	feels absolutely deja vu	is so graphically excessive	may be overstating it
all of its ideas	all of its ideas	remain just that : abstract ideas	remain just that: abstract ideas	the real stars	the earnest tries	the otherwise compelling directors
all of its ideas	all of its ideas	remain just that : abstract ideas	remain just that: abstract ideas	are a little peculiar	are too grave for youngsters	seem like mere splashing around in the muck
the usual portrayals	the usual portrayals	of good kids and bad seeds	of good kids and bad seeds	the film's story	the mere suggestion	the videogame series
the usual portrayals	the usual portrayals	of good kids and bad seeds	of good kids and bad seeds	of growing up	of pop-music history	of her friendship
a haunting dramatization	a haunting dramatization	of a couple 's moral ascension	of a couple's moral ascension	all the depth	the ultimate mysteries	the vertiginous perspectives
a haunting dramatization	a haunting dramatization	of a couple 's moral ascension	of a couple's moral ascension	of human power	of neighborhood values	of love and humility
this novelistic story	this novelistic story	of entangled interrelationships and complex morality	of entangled interrelationships and complex morality	its weighty themes	the overall feel	the meaning and consolation
this novelistic story	this novelistic story	of entangled interrelationships and complex morality	of entangled interrelationships and complex morality	of considerable force and truth	about never giving up on a loved one	of true sophistication
a delicate balance	a delicate balance	of romantic innocence and philosophical depth	of romantic innocence and philosophical depth	the synergistic impulse	the fleeting joys	the real story
a delicate balance	a delicate balance	of romantic innocence and philosophical depth	of romantic innocence and philosophical depth	of intelligence and wit	of wit and dignity	of human power
the main character	the main character	travels back and forth between epochs	travels back and forth between epochs	the crazy thing	the new film	the young whippersnapper
the main character	the main character	travels back and forth between epochs	travels back and forth between epochs	is pushed to one side	is just what you get	armed with nothing but a camera
their screen rapport	their screen rapport	makes the old story seem new	makes the old story seem new	the classic drama	the intricate preciseness	a throwback war movie
their screen rapport	their screen rapport	makes the old story seem new	makes the old story seem new	is well done	is meaningful or memorable	is genial and decent
the momentary joys	the momentary joys	of pretty and weightless intellectual entertainment	of pretty and weightless intellectual entertainment	a supremely kittenish performance	the movie's quiet affirmation	the fierce grandeur
the momentary joys	the momentary joys	of pretty and weightless intellectual entertainment	of pretty and weightless intellectual entertainment	of charisma and menace	of love and jealousy and sacrifice	of adapting to loss
the inner rhythms	the inner rhythms	of love and jealousy and sacrifice	of love and jealousy and sacrifice	the universal theme	a delicate balance	the overall feeling
the inner rhythms	the inner rhythms	of love and jealousy and sacrifice	of love and jealousy and sacrifice	of pretty and weightless intellectual entertainment	of the real deal	of the victorious revolutionaries
an independent film	an independent film	of satiric fire and emotional turmoil	of satiric fire and emotional turmoil	a seriously intended movie	a sleek advert	a serious drama
an independent film	an independent film	of satiric fire and emotional turmoil	of satiric fire and emotional turmoil	of human decency	of brotherly conflict and reconciliation	of the real deal
only a document	only a document	of the worst possibilities of mankind	of the worst possibilities of mankind	an almost visceral sense	the kind of movie	the film's plot
only a document	only a document	of the worst possibilities of mankind	of the worst possibilities of mankind	of inexcusable dumb innocence	of emotional blandness	of critical overkill
the shocking conclusion	the shocking conclusion	is too much of a plunge	is too much of a plunge	its sensitive handling	this seductive tease	the romantic urgency
the shocking conclusion	the shocking conclusion	is too much of a plunge	is too much of a plunge	makes piecing the story together frustrating difficult	makes a lick of sense	doesn't quite fit
Oscar caliber cast	Oscar caliber cast	does n't live up to material	doesn't live up to material	a promising young lad	the best espionage picture	a good video game movie
Oscar caliber cast	Oscar caliber cast	does n't live up to material	doesn't live up to material	can also seem tedious	turns out to be a cheap knockoff	doesn't quite fit
a marching band	a marching band	that gets me where I live	that gets me where I live	the filmed reading	a blind man	an opera movie
a marching band	a marching band	that gets me where I live	that gets me where I live	that earns its moments of pathos	that tries to tell of the unspeakable	that revels in its own simplicity
perfect black pearls	perfect black pearls	clicking together to form a string	clicking together to form a string	the lustrous polished visuals	the rich promises of the script	cruelly funny twists
perfect black pearls	perfect black pearls	clicking together to form a string	clicking together to form a string	needed to make this genre soar	sustain interest and empathy	will do it for you
The hot topics	the hot topics	of the plot	of the plot	the universal theme	an original treatment	the dutiful precision
The hot topics	the hot topics	of the plot	of the plot	of stock footage	at the story's core	of the world
the central flaw	the central flaw	of the film	of the film	the choking sense	the slowest person	a chafing inner loneliness and desperate grandiosity
the central flaw	the central flaw	of the film	of the film	of music videos	of a sequel	of the singles scene
A rich tale	a rich tale	of our times	of our times	a clever and captivating romantic comedy	this likable movie	the funniest thing
A rich tale	a rich tale	of our times	of our times	of a movie	in the woods	in his autobiographical performance
all the excitement	all the excitement	of eating oatmeal	of eating oatmeal	the belly laughs	an irresistible blend	a compelling slice
all the excitement	all the excitement	of eating oatmeal	of eating oatmeal	of pop-music history	of a sequel	of the nation
these curious owners	these curious owners	of architectural oddities	of architectural oddities	a hallucinatory dreamscape	the psychological thriller	the real star
these curious owners	these curious owners	of architectural oddities	of architectural oddities	of cat and mouse	of mergers and downsizing	of his work
the very concept	the very concept	makes you nervous	makes you nervous	his last movie	this latest reincarnation	this film's relationship
the very concept	the very concept	makes you nervous	makes you nervous	remains just that: abstract ideas	is a little peculiar	is not explored very deeply
some delightful work	some delightful work	on indie projects	on indie projects	the most fun	the real charm	the delicious guilty pleasure
some delightful work	some delightful work	on indie projects	on indie projects	of the directing world	of survival story	of real life
the comic heights	the comic heights	it obviously desired	it obviously desired	his resolutely dramatic variation	equally gentle sentiments	the real story
the comic heights	the comic heights	it obviously desired	it obviously desired	that transcend culture and race	the majority of action comedies have	a kid can go through
a prolific director	a prolific director	of music videos	of music videos	all the classic dramas	a simple tale	an original treatment
a prolific director	a prolific director	of music videos	of music videos	for the region's recent history	for older kids	of our times
a root cause	a root cause	of gun violence	of gun violence	a teen movie	every other tale	an action movie
a root cause	a root cause	of gun violence	of gun violence	of inexcusable dumb innocence	of hollow despair	of grief and loss
an audacious tour	an audacious tour	of the past	of the past	a serious exploration	the same magical quality	a strong message
an audacious tour	an audacious tour	of the past	of the past	of the generation gap	of college football games	in a changing world
a fair bit	a fair bit	of vampire fun	of vampire fun	a snappy screenplay	the dramatic scenes	a delicate balance
a fair bit	a fair bit	of vampire fun	of vampire fun	of entangled interrelationships and complex morality	of a sports extravaganza	of love and destiny
the synergistic impulse	the synergistic impulse	that created it	that created it	the numerous scenes	the spare precision	this gentle and affecting melodrama
the synergistic impulse	the synergistic impulse	that created it	that created it	that would make them redeemable	that dwarfs everything else in the film	that is controlled by neither character
the silent screams	the silent screams	of workaday inertia	of workaday inertia	a classroom play	just a simple fable	a sly game
the silent screams	the silent screams	of workaday inertia	of workaday inertia	of mystery and quietness	of rural life	of the industry
minutely detailed wonders	minutely detailed wonders	of dreamlike ecstasy	of dreamlike ecstasy	a multilayered work	just the right amount	a uniquely sensual metaphorical dramatization
minutely detailed wonders	minutely detailed wonders	of dreamlike ecstasy	of dreamlike ecstasy	of a genre gem	of creative insanity	of becoming a better person through love
the personal touch	the personal touch	of manual animation	of manual animation	a fair bit	the movie's power	one's imagination
the personal touch	the personal touch	of manual animation	of manual animation	of the play	of the directing world	of a sequel
The origin story	the origin story	is well told	is well told	the complicated history	the burgeoning genre	the comic possibility
The origin story	the origin story	is well told	is well told	is rich in emotional texture	is lovely and lovable	makes the old story seem new
a serious exploration	a serious exploration	of nuclear terrorism	of nuclear terrorism	a wild ride	an original idea	a cinematic postcard
a serious exploration	a serious exploration	of nuclear terrorism	of nuclear terrorism	of an unlikely friendship	of rural life	of music videos
The sword fighting	the sword fighting	is well done	is well done	this film's cast	the entire exercise	a children's film
The sword fighting	the sword fighting	is well done	is well done	is quite admirable	is top notch	is gorgeous and finely detailed
The real charm	the real charm	of this trifle	of this trifle	the cozy feeling	all the excitement	a strong dramatic and emotional pull
The real charm	the real charm	of this trifle	of this trifle	of rural life	of pop-music history	of modern moviemaking
the sheer beauty	the sheer beauty	of his images	of his images	a uniquely sensual metaphorical dramatization	the humor and humanity	an odd but ultimately satisfying blend
the sheer beauty	the sheer beauty	of his images	of his images	of teen life	of this film	of dealing with the subject
the invisible hand	the invisible hand	of the marketplace	of the marketplace	the tone and pacing	an action movie	the delicate tightrope
